p  0   0.00000   0.00000   0.00000   0.00000
p  1   0.00000   0.00000   0.00000   0.00000
p  2   0.00000   0.00000   0.00000   0.00000
p  3   0.00000   0.00000   0.00000   0.00000
p  4   0.00000   0.00000   0.00000   0.00000
p  5   0.00000   0.00000   0.00000   0.00000
p  6   0.09078   0.00384   0.08479   0.09935
p  7   0.21955   0.00666   0.20864   0.23467
p  8   0.35387   0.00761   0.34261   0.37195
p  9   0.46923   0.00697   0.46001   0.48592
p 10  89.10860   0.19555  88.72498  89.49522
R  0  0    0.00015   0.00002   0.00012   0.00018
R  0  1    0.00015   0.00002   0.00012   0.00018
R  0  2    0.00018   0.00002   0.00014   0.00021
R  0  3    0.00022   0.00002   0.00018   0.00026
R  0  4    0.00040   0.00002   0.00036   0.00044
R  0  5    0.00030   0.00001   0.00027   0.00033
R  0  6    0.00015   0.00001   0.00013   0.00017
R  0  7    0.00017   0.00001   0.00014   0.00019
R  0  8    0.00021   0.00001   0.00018   0.00023
R  0  9    0.00025   0.00001   0.00024   0.00027
R  0 10    0.00025   0.00001   0.00024   0.00027
R  0 11    0.00392   0.00278   0.00116   0.01113
R  1  0    0.00015   0.00002   0.00012   0.00018
R  1  1    0.00016   0.00002   0.00013   0.00020
R  1  2    0.00019   0.00002   0.00015   0.00022
R  1  3    0.00022   0.00002   0.00018   0.00026
R  1  4    0.00044   0.00002   0.00040   0.00048
R  1  5    0.00033   0.00001   0.00030   0.00036
R  1  6    0.00016   0.00001   0.00014   0.00018
R  1  7    0.00019   0.00001   0.00017   0.00022
R  1  8    0.00024   0.00002   0.00021   0.00027
R  1  9    0.00030   0.00001   0.00028   0.00031
R  1 10    0.00030   0.00001   0.00028   0.00031
R  1 11    0.00427   0.00302   0.00129   0.01232
R  2  0    0.00010   0.00001   0.00008   0.00012
R  2  1    0.00010   0.00001   0.00008   0.00012
R  2  2    0.00012   0.00001   0.00010   0.00014
R  2  3    0.00015   0.00001   0.00012   0.00018
R  2  4    0.00030   0.00001   0.00027   0.00032
R  2  5    0.00021   0.00001   0.00020   0.00023
R  2  6    0.00010   0.00001   0.00009   0.00012
R  2  7    0.00013   0.00001   0.00011   0.00014
R  2  8    0.00017   0.00001   0.00014   0.00019
R  2  9    0.00021   0.00001   0.00019   0.00022
R  2 10    0.00021   0.00001   0.00019   0.00022
R  2 11    0.00456   0.00302   0.00141   0.01228
R  3  0    0.00012   0.00001   0.00009   0.00014
R  3  1    0.00012   0.00001   0.00009   0.00014
R  3  2    0.00014   0.00001   0.00011   0.00016
R  3  3    0.00019   0.00002   0.00016   0.00022
R  3  4    0.00034   0.00002   0.00030   0.00036
R  3  5    0.00025   0.00001   0.00023   0.00027
R  3  6    0.00012   0.00001   0.00010   0.00014
R  3  7    0.00013   0.00001   0.00012   0.00015
R  3  8    0.00018   0.00001   0.00016   0.00020
R  3  9    0.00023   0.00001   0.00022   0.00025
R  3 10    0.00023   0.00001   0.00022   0.00025
R  3 11    0.00464   0.00317   0.00145   0.01284
R  4  0    0.00051   0.00005   0.00041   0.00061
R  4  1    0.00056   0.00005   0.00046   0.00066
R  4  2    0.00070   0.00006   0.00059   0.00081
R  4  3    0.00101   0.00007   0.00088   0.00114
R  4  4    0.00168   0.00007   0.00154   0.00180
R  4  5    0.00127   0.00005   0.00117   0.00136
R  4  6    0.00056   0.00004   0.00049   0.00063
R  4  7    0.00070   0.00004   0.00062   0.00078
R  4  8    0.00083   0.00005   0.00073   0.00093
R  4  9    0.00111   0.00003   0.00106   0.00116
R  4 10    0.00111   0.00003   0.00106   0.00116
R  4 11    0.00490   0.00331   0.00153   0.01342
R  5  0    0.00042   0.00004   0.00034   0.00049
R  5  1    0.00044   0.00004   0.00036   0.00051
R  5  2    0.00050   0.00004   0.00042   0.00058
R  5  3    0.00068   0.00005   0.00058   0.00078
R  5  4    0.00119   0.00005   0.00108   0.00128
R  5  5    0.00096   0.00004   0.00089   0.00103
R  5  6    0.00046   0.00003   0.00040   0.00052
R  5  7    0.00054   0.00003   0.00048   0.00061
R  5  8    0.00067   0.00004   0.00060   0.00074
R  5  9    0.00087   0.00002   0.00084   0.00091
R  5 10    0.00087   0.00002   0.00084   0.00091
R  5 11    0.00408   0.00283   0.00123   0.01131
R  6  0    0.00018   0.00004   0.00010   0.00026
R  6  1    0.00019   0.00004   0.00011   0.00028
R  6  2    0.00022   0.00005   0.00012   0.00032
R  6  3    0.00026   0.00006   0.00015   0.00038
R  6  4    0.00045   0.00006   0.00033   0.00057
R  6  5    0.00032   0.00004   0.00023   0.00041
R  6  6    0.00020   0.00003   0.00015   0.00026
R  6  7    0.00027   0.00003   0.00021   0.00034
R  6  8    0.00036   0.00005   0.00027   0.00046
R  6  9    0.00060   0.00003   0.00054   0.00066
R  6 10    0.00060   0.00003   0.00054   0.00066
R  6 11    0.01250   0.00744   0.00392   0.03193
R  7  0    0.00022   0.00005   0.00013   0.00033
R  7  1    0.00023   0.00005   0.00014   0.00033
R  7  2    0.00022   0.00005   0.00012   0.00033
R  7  3    0.00027   0.00006   0.00014   0.00039
R  7  4    0.00049   0.00006   0.00036   0.00060
R  7  5    0.00033   0.00005   0.00024   0.00042
R  7  6    0.00024   0.00003   0.00018   0.00030
R  7  7    0.00028   0.00004   0.00021   0.00036
R  7  8    0.00042   0.00005   0.00033   0.00052
R  7  9    0.00066   0.00003   0.00060   0.00072
R  7 10    0.00066   0.00003   0.00060   0.00072
R  7 11    0.01235   0.00722   0.00395   0.03121
R  8  0    0.00169   0.00018   0.00134   0.00203
R  8  1    0.00165   0.00018   0.00131   0.00201
R  8  2    0.00177   0.00017   0.00144   0.00211
R  8  3    0.00186   0.00019   0.00149   0.00222
R  8  4    0.00282   0.00017   0.00246   0.00313
R  8  5    0.00121   0.00011   0.00099   0.00142
R  8  6    0.00168   0.00011   0.00146   0.00191
R  8  7    0.00177   0.00012   0.00152   0.00200
R  8  8    0.00211   0.00014   0.00184   0.00239
R  8  9    0.00264   0.00007   0.00250   0.00279
R  8 10    0.00264   0.00007   0.00250   0.00279
R  8 11    0.00414   0.00298   0.00114   0.01196
T  0   0.00000   0.00000   0.00000   0.00000
T  1   0.00000   0.00000   0.00000   0.00000
T  2   0.00000   0.00000   0.00000   0.00000
T  3   0.00000   0.00000   0.00000   0.00000
T  4   0.00000   0.00000   0.00000   0.00000
T  5   0.00000   0.00000   0.00000   0.00000
T  6   8.08957   0.34117   7.55697   8.84976
T  7  19.56358   0.59177  18.59957  20.91393
T  8  31.53295   0.67465  30.54091  33.13963
T  9  41.81207   0.61757  41.02909  43.29668
T 10  89.10860   0.19555  88.72498  89.49522
