GenusSpecies	sizeMB	Cvalue	Ploidy1	Ploidy2	AvgMapLength
Arabidopsis_lyrata	207	0.25	0.45	NA	468.2716475
Arabidopsis_thaliana	125	0.16	0.44	NA	520.8780019
Brachypodium_distachyon	272	0.36	NA	NA	1501.612573
Brassica_rapa	283.8	0.8	NA	NA	1370.673397
Capsella_rubella	134.8	0.22	NA	NA	559.0915176
Carica_papaya	372	0.38	NA	NA	1047.804467
Citrus_clementina	301.4	NA	NA	NA	834.129896
Citrus_sinensis	320.5	0.63	NA	NA	703.0099262
Cucumis_sativus	243.5	0.9	NA	NA	767.4349323
Eucalyptus_grandis	691	0.63	NA	NA	1442.561124
Fragaria_vesca	240	0.25	NA	NA	445.8081811
Glycine_max	1060	1.13	NA	NA	2547.392071
Gossypium_raimondii	761.4	0.9	NA	NA	1494.752744
Linum_usitatissimum	318.3	0.7	NA	NA	1088.892542
Malus_domestica	742.3	NA	NA	NA	1129.40727
Manihot_esculenta	760	0.83	NA	NA	1454.93763
Medicago_truncatula	257.6	0.48	NA	NA	771.7533323
Mimulus_guttatus	321.7	0.37	NA	NA	1597.220311
Oryza_sativa	372	0.5	NA	NA	1758.915715
Panicum_virgatum	1358	1.35	1.95	2.35	1514.051847
Phaseolus_vulgaris	521.1	0.6	NA	NA	1393.831162
Populus_trichocarpa	485	0.49	NA	NA	2406.054841
Prunus_persica	227.3	0.28	NA	NA	557.6811278
Setaria_italica	405.7	0.53	NA	NA	1328.80535
Solanum_lycopersicum	760	1.03	NA	NA	1379.265573
Solanum_tuberosum	727	0.88	2.1	NA	838.1703726
Sorghum_bicolor	738.5	0.75	1.68	NA	1564.421909
Theobroma_cacao	326.9	0.43	NA	NA	879.5830445
Vitis_vinifera	487.1	0.43	NA	NA	1455.555263
Zea_mays	2066.4	2.73	NA	NA	1483.203453
