Thepa	Theca	Carpa	Arath
3	1	2	2
0	1	2	1
1	1	1	1
3	2	1	3
1	1	1	1
1	1	1	1
1	2	2	1
2	2	2	2
2	2	1	3
1	2	1	1
2	2	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
0	2	1	0
1	1	0	1
1	2	1	1
2	2	1	2
1	1	0	1
1	1	1	1
1	1	2	1
0	1	2	1
1	1	1	1
1	2	1	1
1	1	1	1
0	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
0	1	1	0
1	2	0	1
1	2	3	1
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
2	1	1	1
1	2	1	1
1	1	1	1
1	1	0	0
2	2	2	2
1	1	1	2
1	2	1	1
4	2	0	3
1	1	1	1
1	1	1	1
1	1	1	1
0	2	1	0
1	1	1	1
1	1	1	1
1	1	1	1
0	1	1	1
2	1	1	2
1	2	1	1
3	2	3	3
1	1	1	1
1	3	1	2
1	2	0	1
0	1	1	0
1	1	1	2
1	1	1	1
1	1	1	1
2	1	1	2
2	1	1	2
1	1	1	1
2	1	1	1
1	1	0	1
1	1	1	1
0	1	1	0
1	1	1	1
1	1	1	2
1	1	1	1
2	1	1	3
1	1	1	1
2	1	1	2
1	1	1	1
6	5	1	4
0	1	1	0
1	1	1	1
2	1	1	2
1	1	1	1
4	2	1	4
1	1	1	1
1	1	1	1
1	1	0	0
2	1	2	1
2	2	2	2
1	1	1	1
2	3	2	2
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
0	1	1	0
2	1	2	1
0	1	1	0
1	1	2	1
0	1	1	0
1	1	1	1
1	3	1	1
1	1	1	1
1	2	2	1
1	1	1	4
1	1	1	1
2	2	1	2
1	1	1	1
0	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
1	1	1	1
1	1	0	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
4	2	1	4
1	1	1	1
1	1	0	1
0	1	1	0
1	1	1	1
1	2	1	1
1	3	1	1
2	1	0	1
2	2	1	2
13	13	11	15
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	3
1	1	1	1
1	2	1	2
1	1	1	1
1	1	1	1
2	1	1	2
2	3	1	2
1	1	1	1
2	1	1	2
2	2	2	2
1	2	1	1
1	1	1	1
0	1	1	0
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	1
4	52	8	6
3	2	2	3
1	1	1	1
1	1	2	1
0	1	3	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	1
2	1	1	3
3	1	1	3
2	1	1	1
1	1	2	1
1	1	0	1
3	2	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	0	0
2	1	1	1
1	1	1	1
0	1	1	0
1	1	1	1
0	1	1	0
1	2	1	2
2	1	1	1
2	3	3	2
2	2	2	2
1	1	1	1
1	1	1	1
3	1	1	3
1	1	1	1
1	1	1	2
1	2	2	1
2	1	1	1
1	1	1	1
1	1	1	3
3	2	1	3
5	4	3	5
1	1	0	1
1	1	1	1
1	2	1	1
2	1	0	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	2
1	1	1	2
2	1	1	2
2	2	2	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
2	2	1	2
1	1	1	1
2	2	2	3
2	2	7	2
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
0	2	1	0
1	1	1	1
0	3	1	0
3	2	2	3
4	4	1	4
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
