Thepa	Ambtr	Aquco	Mimgu	Medtr	Nelnu	Soltu	Solly	Vitvi	Theca	Frave	Carpa	Arath	Glyma	Poptr
1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
2	1	2	1	1	1	2	2	1	1	1	1	2	4	2
1	1	0	1	0	1	2	1	1	0	1	0	1	0	3
2	1	0	1	0	1	1	1	1	1	1	0	2	2	1
1	1	1	2	0	1	1	1	1	1	1	1	1	1	1
2	1	1	2	0	2	1	2	1	7	1	1	2	9	3
1	1	3	1	1	2	0	1	1	2	1	2	1	2	2
3	1	2	2	1	1	3	2	1	3	2	1	1	4	1
1	1	1	1	1	1	2	1	1	2	1	1	1	1	2
1	1	1	1	0	1	1	1	1	1	1	1	1	5	1
1	1	2	2	0	1	1	1	1	1	1	1	1	4	1
1	1	2	2	1	2	1	1	1	1	1	1	1	5	4
1	1	2	1	2	1	1	1	1	1	0	1	1	3	1
1	1	1	1	1	0	0	1	1	1	1	0	1	1	2
0	1	1	1	1	1	2	1	1	1	2	1	0	1	2
4	1	2	1	0	1	1	1	1	2	2	1	4	2	1
2	2	3	2	1	2	4	2	1	2	2	1	3	4	3
0	1	2	2	1	2	1	1	1	1	1	1	1	2	1
2	1	1	2	1	1	2	2	2	2	2	2	2	2	4
1	1	1	2	2	1	1	1	1	1	2	1	1	4	7
1	1	1	1	1	2	2	2	1	1	1	1	1	2	2
1	1	2	1	1	2	1	1	2	2	1	1	1	2	4
1	1	1	1	2	1	2	1	1	1	0	1	1	1	1
1	1	1	2	0	2	2	1	2	1	2	1	1	7	8
1	2	1	1	1	0	2	1	1	1	1	1	1	2	1
1	1	1	1	2	0	1	1	1	1	2	1	1	3	1
2	1	1	1	0	1	1	1	1	1	1	1	1	2	1
1	1	1	2	0	1	1	1	1	1	1	1	1	4	1
1	1	1	2	0	1	1	2	1	1	1	1	1	4	2
1	1	1	1	1	1	1	1	1	1	0	1	1	1	2
1	1	1	0	1	1	1	1	1	1	1	0	1	2	1
2	1	1	1	1	2	3	1	1	1	1	1	2	2	2
1	1	1	1	0	3	1	1	0	1	1	1	1	2	1
1	1	1	1	1	1	2	1	0	1	1	1	1	2	2
0	1	0	1	0	1	1	1	0	1	0	0	0	0	1
1	2	1	1	2	1	4	2	1	1	1	1	1	5	1
1	1	2	2	1	2	3	1	2	1	1	1	1	5	1
1	3	2	0	0	0	2	1	2	1	1	2	1	1	0
1	2	2	3	1	1	5	1	2	2	2	2	1	3	4
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	3	1	2	1	1	1	1	1	1	5	2
0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	0	1	2	2	1	1	1	1	1	1	1
1	1	1	1	1	2	1	1	1	1	1	1	1	2	3
1	1	1	1	1	1	2	2	1	1	1	1	1	3	1
1	1	1	1	1	1	0	0	1	1	1	1	1	2	2
1	1	1	1	0	1	0	1	2	2	1	1	1	3	6
1	1	3	3	1	3	5	4	2	2	3	2	1	9	2
1	1	1	1	0	2	1	1	1	1	1	1	1	3	2
2	1	1	1	0	2	1	1	1	1	1	1	1	2	5
1	2	2	1	2	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	0	2	1	1	1	1	1	1	1	2	2
1	2	1	0	1	1	1	1	0	1	1	1	1	2	2
1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	1	1	1	5	1
1	1	1	1	1	2	4	3	2	1	1	0	1	3	2
1	1	3	2	2	1	1	1	1	1	1	1	1	5	3
3	2	3	3	2	4	4	4	3	2	3	1	3	10	4
2	1	1	2	0	0	2	2	2	2	2	2	2	4	2
1	1	1	1	0	1	1	1	1	1	1	1	1	2	3
1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	2	2	1	2	1	1	1	1	3	1
1	1	1	2	0	1	3	1	1	1	1	1	1	1	3
1	1	0	2	2	2	2	2	2	2	3	1	1	5	2
3	1	1	2	2	2	2	2	1	1	1	1	3	6	2
2	1	1	1	0	1	1	1	1	1	1	1	1	3	1
1	1	3	1	1	1	1	2	1	1	1	1	1	4	2
3	1	1	1	2	0	1	1	2	2	1	1	2	7	5
0	1	1	2	1	2	2	1	1	1	1	1	0	4	2
0	1	1	0	1	1	1	1	1	1	1	1	0	2	1
1	1	2	1	0	1	3	1	1	1	1	2	1	3	1
1	1	1	1	1	2	2	1	1	1	1	1	2	1	2
1	1	2	1	0	1	0	1	1	1	1	1	1	2	2
1	1	1	1	1	1	1	1	1	1	1	1	1	3	1
1	1	1	1	0	0	1	1	1	1	0	2	1	2	2
0	6	8	0	0	0	0	0	4	3	3	1	0	0	2
2	1	4	1	1	0	2	2	1	1	2	1	2	9	1
1	1	1	1	0	1	2	2	1	1	1	1	1	2	2
1	1	1	1	1	0	1	1	1	1	1	1	1	2	1
15	13	14	14	10	11	34	19	17	16	13	10	13	30	29
1	1	1	1	1	1	0	1	2	1	1	1	1	1	1
2	1	1	2	1	2	2	3	3	2	1	2	2	3	1
1	1	0	0	0	1	0	0	0	1	0	1	1	0	0
1	1	1	2	0	0	1	1	1	1	0	1	1	3	4
7	1	2	1	3	0	4	5	2	3	3	2	7	8	7
1	1	1	1	3	1	1	1	1	1	1	1	1	2	2
4	3	2	4	3	4	5	4	3	3	4	3	4	6	6
5	1	1	5	10	3	4	4	4	5	4	4	6	10	8
2	1	0	2	3	2	6	3	2	2	2	2	2	9	9
1	1	1	1	0	1	1	1	1	1	1	0	1	1	2
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
1	1	0	1	1	0	1	1	1	1	1	0	1	1	2
1	1	1	2	2	1	1	1	1	1	1	1	1	1	3
1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
