GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
10001.38252864.SCP_like_extracellular_protein__expressed	0.329	0.351	0.75	0.75	*
10002.38252883.CWC15_homolog_A__putative__expressed	-0.653	-0.00488	0.01	0.5	*
10012.38253081.heavy_metal_associated_domain_containing_protein__expressed	-0.164	-0.203	0.36	0.26	*
10018.38253202.	-0.123	0.127	0.37	0.59	*
1002.38092574.farnesyltransferase_A	-0.229	-0.279	0.25	0.27	*
10021.38253235.expressed_protein	-0.149	-0.304	0.33	0.27	*
10022.38253260.	-0.0818	-0.526	0.42	0.046	*
10026.38253296.subunit_of_exocyst_complex_8	0.18	-0.185	0.71	0.31	*
10027.38253301.utp14_protein__putative__expressed	-0.411	0.174	0.11	0.68	*
10035.38253418.ribonuclease_H2_subunit_B__putative__expressed	-0.567	-0.628	0.095	0.069	*
10036.38253444.	0.37	-0.0858	0.73	0.45	*
1004.38092882.Ribosomal_L27e_protein_family	0.435	0.377	0.8	0.73	*
10041.38253503.UDP_Glycosyltransferase_superfamily_protein	0.472	-0.765	0.86	0.0057	*
10047.38253573.osMFT1__MFT_Like1_homologous_to_Mother_of_FT_and_TFL1__gene__contains_Pfam_profile_PF01161:_Phosphatidylethanolamine_binding_protein__expressed	0.0508	-0.376	0.55	0.24	*
1005.38092905.Tetratricopeptide_repeat__TPR__like_superfamily_protein	-0.165	0.149	0.33	0.67	*
10057.38253776.expressed_protein	-0.731	0.418	0.044	0.82	*
10058.38253806.expressed_protein	0.201	-0.183	0.67	0.38	*
1006.38092671.bZIP_transcription_factor_domain_containing_protein__expressed	-0.213	0.488	0.3	0.87	*
10060.38253844.Ribosomal_protein_L24e_family_protein	0.312	-0.148	0.76	0.4	*
10061.38253847.	-0.241	0.113	0.3	0.58	*
10063.38253896.GHMP_kinases_ATP_binding_protein__putative__expressed	-0.148	-0.366	0.34	0.14	*
10065.38253908.expressed_protein	-0.544	0.503	0.11	0.9	*
10067.38253928.expressed_protein	-0.56	-0.432	0.029	0.12	*
10068.38254010.cofactor_assembly_of_complex_C	0.00999	-0.102	0.49	0.42	*
10070.38254050.expressed_protein	-0.82	-0.765	0.017	0.011	*
10078.38254206.	-0.682	-0.498	0.039	0.11	*
10079.38254222.	-0.129	0.213	0.33	0.69	*
10082.38254259.ELM2_domain_containing_protein__putative__expressed	0.0558	-0.0891	0.55	0.43	*
10085.38254328.MLO_domain_containing_protein__putative__expressed	0.0037	0.61	0.5	0.92	*
10089.38254382.Major_facilitator_superfamily_protein	0.382	0.185	0.8	0.66	*
10091.38254385.	0.528	-0.628	0.93	0.042	*
10093.38254427.transcription_initiation_factor_IIA_gamma_chain__putative__expressed	0.403	-0.23	0.78	0.31	*
10099.38254503.peroxidase_precursor__putative__expressed	-0.0191	-0.088	0.47	0.42	*
10103.38254609.	-0.384	-0.926	0.21	0.0017	*
10109.38254666.tubulin_folding_cofactor_B__putative__expressed	-0.196	-0.143	0.31	0.41	*
1011.38092755.AGAP003819_PA__putative__expressed	0.0348	-0.554	0.51	0.077	*
10110.38254671.expressed_protein	-0.263	-0.0625	0.28	0.46	*
10119.38255038.ubiquitin_family_protein__putative__expressed	0.494	-0.24	0.83	0.35	*
1012.38093143.co_factor_for_nitrate__reductase_and_xanthine_dehydrogenase_7	0.176	-0.136	0.65	0.41	*
10122.38255107.ribosomal_protein_S6_family_protein__putative__expressed	-0.427	-0.183	0.14	0.34	*
10126.38255196.Nucleotide_diphospho_sugar_transferases_superfamily_protein	0.0387	-0.126	0.53	0.43	*
10128.38255207.origin_recognition_complex_subunit_4	-0.41	0.105	0.15	0.57	*
10129.38255244.FHA_domain_containing_protein__putative__expressed	0.198	-0.401	0.73	0.12	*
